epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,477.8,0.74021,1.01322,0.98051,0.93309,0,0.457,0.63907,0.51363,0.38038,0.4637,0.63285,0.50073,0.25564,0.81013,1.07153,1.45901,0.96052,0,0.0007327,0.0007327,0.0007327
29,489.675,0.7366,1.0064,0.94573,0.92797,0,0.57268,0.7224,0.65681,0.50303,0.56303,0.70916,0.64109,0.34638,0.72735,0.98954,1.05744,0.94265,0,0.0007228,0.0007228,0.0007228
30,508.723,0.70827,0.94628,0.9264,0.92534,0,0.57205,0.73295,0.68296,0.5145,0.56365,0.72187,0.66735,0.3502,0.75026,1.02881,1.07887,0.94831,0,0.0007129,0.0007129,0.0007129
31,528.806,0.71297,1.00503,0.91177,0.92542,0,0.57973,0.74248,0.68488,0.52383,0.57737,0.71718,0.67382,0.36243,0.72822,0.96846,1.03891,0.93623,0,0.000703,0.000703,0.000703
32,542.023,0.70138,0.97878,0.87586,0.91108,0,0.59658,0.67666,0.65902,0.49417,0.59184,0.66928,0.65066,0.36128,0.77539,0.97153,1.01049,0.95971,0,0.0006931,0.0006931,0.0006931
33,555.856,0.70998,0.98825,0.91016,0.92276,0,0.6094,0.73672,0.69795,0.53514,0.60366,0.72951,0.68633,0.37758,0.72523,0.9655,0.98134,0.94762,0,0.0006832,0.0006832,0.0006832
34,585.526,0.69975,0.93172,0.89832,0.91963,0,0.5266,0.6789,0.60224,0.44799,0.52086,0.67553,0.5954,0.31363,0.7995,0.94966,1.34504,0.95616,0,0.0006733,0.0006733,0.0006733
35,611.323,0.76184,0.98683,1.40645,0.92461,0,0.63044,0.68791,0.68688,0.52627,0.6269,0.6697,0.67067,0.3802,0.74315,1.01102,0.96366,0.9528,0,0.0006634,0.0006634,0.0006634
36,629.01,0.71866,0.97012,0.90251,0.92237,0,0.57063,0.69587,0.6362,0.48584,0.56163,0.68603,0.61897,0.32964,0.75528,1.06546,1.11308,0.9508,0,0.0006535,0.0006535,0.0006535
37,651.156,0.69813,0.96334,0.89797,0.92277,0,0.64788,0.69508,0.6954,0.53439,0.63458,0.68134,0.6772,0.37215,0.76193,1.03649,0.97968,0.96108,0,0.0006436,0.0006436,0.0006436
38,679.002,0.69398,0.96108,0.88406,0.91259,0,0.42682,0.70656,0.54766,0.41352,0.41147,0.70836,0.51993,0.27301,0.7472,1.00316,1.33491,0.95668,0,0.0006337,0.0006337,0.0006337
39,695.047,0.69796,0.95637,0.89142,0.9135,0,0.63057,0.68423,0.69148,0.52428,0.61606,0.68528,0.67966,0.37326,0.75584,0.99048,0.94958,0.9606,0,0.0006238,0.0006238,0.0006238
40,705.07,0.68526,0.95817,0.87785,0.91615,0,0.53701,0.74337,0.66962,0.51743,0.52992,0.73412,0.65654,0.36774,0.74775,1.00935,1.11895,0.95777,0,0.0006139,0.0006139,0.0006139
41,716.25,0.66379,0.89811,0.84809,0.90062,0,0.5916,0.6935,0.68086,0.52833,0.57806,0.69085,0.66798,0.37756,0.71849,0.93431,0.97928,0.94549,0,0.000604,0.000604,0.000604
42,726.647,0.65421,0.91423,0.80634,0.89983,0,0.58723,0.70216,0.66825,0.52022,0.57638,0.68736,0.65034,0.35236,0.73145,1.01054,1.04479,0.9508,0,0.0005941,0.0005941,0.0005941
43,747.663,0.67506,0.9503,0.80927,0.89771,0,0.56706,0.63237,0.63149,0.49385,0.57391,0.61452,0.60961,0.33766,0.70832,0.96504,1.06599,0.94122,0,0.0005842,0.0005842,0.0005842
44,775.644,0.65596,0.92158,0.79267,0.90335,0,0.67461,0.64653,0.7037,0.54947,0.67453,0.64374,0.69835,0.39047,0.72251,0.98403,0.93588,0.94123,0,0.0005743,0.0005743,0.0005743
45,796.522,0.65675,0.9469,0.81004,0.89906,0,0.61773,0.72103,0.70271,0.54779,0.60947,0.71319,0.69028,0.38154,0.69904,0.94275,0.96152,0.94078,0,0.0005644,0.0005644,0.0005644
46,824.171,0.64268,0.94459,0.79603,0.89678,0,0.57972,0.65464,0.6647,0.50676,0.56863,0.64843,0.6439,0.3377,0.74545,0.97161,1.04029,0.9509,0,0.0005545,0.0005545,0.0005545
47,843.834,0.65455,0.90828,0.80097,0.90234,0,0.57238,0.68918,0.66872,0.51637,0.53786,0.712,0.65009,0.36077,0.71595,0.97933,1.08767,0.95302,0,0.0005446,0.0005446,0.0005446
48,858.078,0.6356,0.9167,0.76181,0.88668,0,0.59118,0.70591,0.67321,0.5221,0.58892,0.70485,0.66085,0.35545,0.72709,0.95538,1.04849,0.94492,0,0.0005347,0.0005347,0.0005347
49,866.008,0.64974,0.90709,0.78219,0.88502,0,0.58963,0.70746,0.67704,0.52883,0.58716,0.70786,0.67121,0.36425,0.6847,0.94637,1.02959,0.9288,0,0.0005248,0.0005248,0.0005248
50,881.691,0.62863,0.86982,0.75366,0.89504,0,0.60692,0.71598,0.69388,0.5364,0.5887,0.71978,0.68336,0.36602,0.72209,0.96735,1.00268,0.94268,0,0.0005149,0.0005149,0.0005149
51,904.744,0.6861,0.921,0.86001,0.90994,0,0.581,0.71867,0.68824,0.52495,0.57422,0.71132,0.67116,0.35659,0.74393,0.97823,1.02783,0.95564,0,0.000505,0.000505,0.000505
52,923.612,0.64812,0.90913,0.74997,0.89031,0,0.68766,0.63747,0.68422,0.53051,0.68275,0.63323,0.67302,0.3719,0.72445,0.97004,0.9802,0.9523,0,0.0004951,0.0004951,0.0004951
53,941.244,0.63049,0.87324,0.73022,0.88876,0,0.61907,0.67473,0.68072,0.52698,0.61377,0.66643,0.67379,0.37633,0.71924,0.94686,1.05164,0.94089,0,0.0004852,0.0004852,0.0004852
54,950.298,0.62768,0.85155,0.72087,0.88445,0,0.64185,0.68227,0.68792,0.53649,0.63588,0.67506,0.67851,0.38151,0.71246,0.98206,0.96867,0.94691,0,0.0004753,0.0004753,0.0004753
55,962.068,0.61758,0.87591,0.70239,0.89465,0,0.5456,0.66193,0.62905,0.48144,0.54377,0.64459,0.61476,0.32482,0.73591,0.96628,1.32407,0.95031,0,0.0004654,0.0004654,0.0004654
56,972.664,0.59143,0.83576,0.7104,0.88204,0,0.63626,0.66062,0.68577,0.53342,0.67801,0.59917,0.67137,0.36208,0.69322,0.95299,1.00752,0.93528,0,0.0004555,0.0004555,0.0004555
57,981.586,0.62321,0.89961,0.7115,0.89178,0,0.57615,0.65969,0.62209,0.48765,0.57059,0.65505,0.61444,0.33108,0.69164,0.97997,1.3084,0.93263,0,0.0004456,0.0004456,0.0004456
58,999.227,0.61674,0.89214,0.74421,0.88965,0,0.62174,0.68728,0.66949,0.52205,0.60933,0.6987,0.66617,0.37146,0.7024,0.94862,1.03283,0.94072,0,0.0004357,0.0004357,0.0004357
59,1011.69,0.59463,0.8598,0.73232,0.87282,0,0.62934,0.66267,0.66113,0.51412,0.62111,0.65101,0.64615,0.34929,0.7055,0.99987,1.05806,0.94778,0,0.0004258,0.0004258,0.0004258
60,1026.51,0.57825,0.85209,0.67391,0.87386,0,0.62029,0.68962,0.68122,0.53643,0.60493,0.69643,0.67508,0.37937,0.68009,0.91592,0.95666,0.93039,0,0.0004159,0.0004159,0.0004159
61,1042.95,0.59283,0.8955,0.70871,0.88026,0,0.51221,0.68638,0.57642,0.44235,0.50022,0.67532,0.55864,0.2989,0.7219,0.98694,1.28781,0.94101,0,0.000406,0.000406,0.000406
62,1059.14,0.59646,0.86347,0.70014,0.88451,0,0.63758,0.65491,0.65914,0.515,0.6337,0.64382,0.65216,0.36081,0.69522,0.9831,0.98159,0.938,0,0.0003961,0.0003961,0.0003961
